Classe,Acurácia (%),Total de Amostras,Predições Corretas
0,100.00,309,309
1,100.00,309,309
6,100.00,309,309
Y,100.00,303,303
5,100.00,309,309
9,100.00,309,309
A,100.00,303,303
F,100.00,306,306
G,100.00,306,306
H,100.00,306,306
C,100.00,306,306
S,100.00,306,306
U,100.00,303,303
P,100.00,303,303
R,100.00,306,306
N,100.00,306,306
M,100.00,306,306
L,100.00,303,303
K,100.00,303,303
Z,100.00,243,243
X,100.00,303,303
V,100.00,309,309
W,100.00,303,303
2,99.68,309,308
8,99.68,309,308
T,99.67,306,305
D,99.67,303,302
E,99.67,303,302
I,99.67,303,302
Q,99.67,303,302
4,99.35,309,307
3,99.35,309,307
J,99.03,309,306
B,98.71,309,305
7,98.38,309,304
